feature,importance_mean,importance_std
pay_0,0.02340134696014351,0.004125290655803657
limit_bal,0.01920584133773775,0.0027939581906405177
months_with_delay,0.015494376937330778,0.0032392869803361053
bill_amt1,0.011148252978374008,0.0017052712715438733
max_delay,0.008283548707263711,0.0019959429464715427
avg_pay_amt,0.005241623209806123,0.0010894115926505475
bill_amt3,0.004921600298477857,0.0011826413816068526
avg_bill_amt,0.004762048645847172,0.0005497837403655429
pay_amt2,0.004744182013687648,0.0028042546488821103
pay_amt3,0.004185192897225476,0.0008663932407195735
payment_ratio,0.0034317070975852237,0.0012695060219669065
age,0.0025404774463327674,0.0005983113325295719
pay_amt1,0.0019202031541173613,0.0008239714608600607
bill_amt5,0.0018920894829251855,0.0006302427896084235
education,0.001812280813536038,0.0009198384727934382
pay_amt6,0.0016604144401799025,0.0012070611242877098
marriage,0.0016299360676723662,0.0006329773082514974
sex,0.0015743655867643813,0.001305030531036724
avg_delay,0.0009470628767510592,0.0007652005028050356
pay_amt5,0.0006685536107346346,0.0006060231392460701
bill_amt4,0.0004816765206834939,0.00042736190109647263
bill_amt2,0.00047425398599953983,0.00139611091143722
pay_4,0.00025315441302522503,0.0004947495902278119
age_group,0.00013610169792115377,0.0001419514885449994
pay_6,-3.8097965634253938e-06,0.00027136994741302215
pay_3,-0.000171966334535667,0.00012288078832935328
limit_bucket,-0.0002079623434453559,6.6675290316187e-05
pay_2,-0.0003043896081887709,0.000310195722839343
pay_5,-0.00034971305006403774,0.0004662312993489277
pay_amt4,-0.0004365501372512792,0.0011804904478045356
bill_amt6,-0.0006033272661228661,0.00039648226189552575
